Data Zone,Local Authority Code,Police Force Area,SIMD Crime 2012 rank,SIMD Crime 2012 count,"SIMD Crimes per 10,000 total population",,Notes
S01003410,260,Strathclyde,1,1807,15916,,"1.  Note that the SIMD 2012 crime count relates to selected recorded offences, not all crimes commited in an area. "
S01000109,100,Grampian,2,828,7529,,
S01003853,270,Northern,3,731,6945,,2.  Datazones with a SIMD crime count of 5 or less have been suppressed along with additional cells to ensure that disclosive data cannot be deduced through differencing. Suppressed cells are shown as empty cells. The crime domain ranks were calculated using unrounded and unprotected data zone level crime counts. Consequently the crime count/rate shown may not completely correspond with crime domain ranks. 
S01003373,260,Strathclyde,4,944,6943,,
S01000107,100,Grampian,5,639,6268,,
S01001014,170,Dumfries & Galloway,6,464,5900,,
S01002131,230,Lothian and Borders,7,548,5821,,
S01002161,230,Lothian and Borders,8,477,5729,,
S01001376,190,Strathclyde,9,362,5078,,"3.  Crime counts for the five sub categories of crime used in SIMD are not available at data zone level for confidentiality reasons. However, counts are available at Intermediate Geography level on Scottish Neighbourhood Statistics: www.sns.gov.uk"
S01005249,350,Strathclyde,10,462,4955,,
S01003314,260,Strathclyde,11,235,4455,,
S01003358,260,Strathclyde,12,642,4382,,
S01002442,240,Central,13,244,4303,,4. For more information on the SIMD crime domain and indicators please refer to the SIMD technical notes. 
S01001101,180,Tayside,14,765,4282,,
S01004299,300,Grampian,15,210,4114,,
S01003433,260,Strathclyde,16,420,3720,,
S01000486,110,Grampian,17,353,3331,,
S01001022,170,Dumfries & Galloway,18,246,3326,,
S01000098,100,Grampian,19,377,3311,,
S01001906,230,Lothian and Borders,20,209,3308,,
S01002282,230,Lothian and Borders,21,139,3275,,
S01005585,370,Strathclyde,22,265,3220,,
S01000100,100,Grampian,23,267,3184,,
S01005265,350,Strathclyde,24,98,3093,,
S01005589,370,Strathclyde,25,334,3085,,
S01004596,320,Strathclyde,26,216,2964,,
S01004222,290,Lothian and Borders,27,182,2955,,
S01004414,310,Strathclyde,28,206,2953,,
S01004893,320,Strathclyde,29,205,2935,,
S01002722,250,Fife,30,248,2915,,
S01005247,350,Strathclyde,31,177,2894,,
S01002106,230,Lothian and Borders,32,329,2886,,
S01000563,110,Grampian,33,240,2791,,
S01006416,400,Lothian and Borders,34,146,2788,,
S01003436,260,Strathclyde,35,139,2776,,
S01006260,395,Strathclyde,36,154,2734,,
S01004042,280,Strathclyde,37,127,2705,,
S01003232,260,Strathclyde,38,236,2674,,
S01002108,230,Lothian and Borders,39,265,2597,,
S01004094,280,Strathclyde,40,180,2584,,
S01000837,150,Central,41,245,2560,,
S01000934,170,Dumfries & Galloway,42,245,2540,,
S01004533,320,Strathclyde,43,99,2510,,
S01005243,350,Strathclyde,44,275,2508,,
S01003709,260,Strathclyde,45,187,2507,,
S01003335,260,Strathclyde,46,157,2506,,
S01004377,310,Strathclyde,47,184,2497,,
S01003977,270,Northern,48,117,2442,,
S01000716,130,Strathclyde,49,140,2430,,
S01002671,250,Fife,50,246,2405,,
S01003860,270,Northern,51,170,2394,,
S01002109,230,Lothian and Borders,52,267,2328,,
S01002128,230,Lothian and Borders,53,249,2326,,
S01001382,190,Strathclyde,54,147,2310,,
S01006123,390,Central,55,159,2242,,
S01006177,395,Strathclyde,56,134,2217,,
S01000066,100,Grampian,57,180,2205,,
S01006100,390,Central,58,103,2195,,
S01006126,390,Central,59,147,2193,,
S01006361,400,Lothian and Borders,60,208,2192,,
S01001239,180,Tayside,61,128,2187,,
S01004093,280,Strathclyde,62,131,2168,,
S01001861,230,Lothian and Borders,63,176,2123,,
S01001113,180,Tayside,64,262,2121,,
S01003156,260,Strathclyde,65,165,2115,,
S01006061,380,Strathclyde,66,121,2113,,
S01004300,300,Grampian,67,109,2111,,
S01001386,190,Strathclyde,68,155,2108,,
S01005866,380,Strathclyde,69,156,2107,,
S01000399,110,Grampian,70,116,2082,,
S01002356,235,Northern,71,195,2079,,
S01002459,240,Central,72,121,2060,,
S01003564,260,Strathclyde,73,133,2036,,
S01003984,270,Northern,74,113,2032,,
S01004974,340,Tayside,75,233,2001,,
S01005998,380,Strathclyde,76,115,1973,,
S01005268,350,Strathclyde,77,227,1963,,
S01003302,260,Strathclyde,78,140,1947,,
S01004620,320,Strathclyde,79,141,1935,,
S01005041,340,Tayside,80,129,1935,,
S01001138,180,Tayside,81,230,1925,,
S01000744,130,Strathclyde,82,140,1925,,
S01006186,395,Strathclyde,83,202,1913,,
S01006241,395,Strathclyde,84,176,1909,,
S01000769,130,Strathclyde,85,150,1902,,
S01001394,190,Strathclyde,86,93,1900,,
S01003159,260,Strathclyde,87,85,1900,,
S01001909,230,Lothian and Borders,88,129,1895,,
S01001932,230,Lothian and Borders,89,284,1890,,
S01001174,180,Tayside,90,130,1888,,
S01003731,270,Northern,91,119,1883,,
S01002118,230,Lothian and Borders,92,245,1871,,
S01003279,260,Strathclyde,93,60,1869,,
S01003367,260,Strathclyde,94,231,1859,,
S01003273,260,Strathclyde,95,121,1829,,
S01003262,260,Strathclyde,96,131,1820,,
S01004661,320,Strathclyde,97,123,1820,,
S01006120,390,Central,98,159,1800,,
S01004552,320,Strathclyde,99,126,1795,,
S01004618,320,Strathclyde,100,116,1790,,
S01003758,270,Northern,101,160,1788,,
S01003441,260,Strathclyde,102,186,1782,,
S01006192,395,Strathclyde,103,121,1777,,
S01004388,310,Strathclyde,104,115,1772,,
S01003815,270,Northern,105,127,1762,,
S01005272,350,Strathclyde,106,106,1760,,
S01000196,100,Grampian,107,155,1760,,
S01005590,370,Strathclyde,108,123,1759,,
S01003653,260,Strathclyde,109,118,1751,,
S01002543,240,Central,110,96,1743,,
S01003076,260,Strathclyde,111,151,1738,,
S01003548,260,Strathclyde,112,42,1736,,
S01000102,100,Grampian,113,136,1736,,
S01004450,310,Strathclyde,114,140,1733,,
S01006373,400,Lothian and Borders,115,145,1721,,
S01002156,230,Lothian and Borders,116,134,1704,,
S01002437,240,Central,117,132,1702,,
S01000610,120,Tayside,118,114,1695,,
S01003466,260,Strathclyde,119,128,1689,,
S01003665,260,Strathclyde,120,100,1686,,
S01005600,370,Strathclyde,121,127,1682,,
S01004069,280,Strathclyde,122,98,1675,,
S01000818,130,Strathclyde,123,131,1664,,
S01005312,350,Strathclyde,124,191,1662,,
S01006115,390,Central,125,131,1657,,
S01005254,350,Strathclyde,126,177,1657,,
S01006327,400,Lothian and Borders,127,85,1653,,
S01004775,320,Strathclyde,128,120,1645,,
S01002922,250,Fife,129,86,1644,,
S01003328,260,Strathclyde,130,161,1642,,
S01000084,100,Grampian,131,121,1635,,
S01003416,260,Strathclyde,132,139,1630,,
S01000213,100,Grampian,133,134,1628,,
S01003043,260,Strathclyde,134,89,1626,,
S01005594,370,Strathclyde,135,137,1621,,
S01001897,230,Lothian and Borders,136,136,1620,,
S01000933,170,Dumfries & Galloway,137,139,1618,,
S01003646,260,Strathclyde,138,158,1593,,
S01001630,210,Lothian and Borders,139,78,1591,,
S01004431,310,Strathclyde,140,102,1590,,
S01006121,390,Central,141,91,1578,,
S01004071,280,Strathclyde,142,116,1576,,
S01004270,300,Grampian,143,78,1574,,
S01004569,320,Strathclyde,144,99,1573,,
S01003176,260,Strathclyde,145,116,1565,,
S01001594,210,Lothian and Borders,146,115,1560,,
S01001172,180,Tayside,147,97,1559,,
S01005434,355,Lothian and Borders,148,106,1556,,
S01006253,395,Strathclyde,149,100,1555,,
S01004545,320,Strathclyde,150,118,1552,,
S01002291,230,Lothian and Borders,151,122,1552,,
S01001880,230,Lothian and Borders,152,105,1547,,
S01006187,395,Strathclyde,153,130,1544,,
S01003111,260,Strathclyde,154,129,1544,,
S01002893,250,Fife,155,169,1537,,
S01001397,190,Strathclyde,156,110,1530,,
S01000732,130,Strathclyde,157,78,1525,,
S01004364,310,Strathclyde,158,127,1516,,
S01003285,260,Strathclyde,159,119,1512,,
S01003978,270,Northern,160,77,1512,,
S01005239,350,Strathclyde,161,131,1511,,
S01005598,370,Strathclyde,162,140,1501,,
S01004805,320,Strathclyde,163,77,1499,,
S01002856,250,Fife,164,109,1499,,
S01001954,230,Lothian and Borders,165,69,1499,,
S01005946,380,Strathclyde,166,114,1498,,
S01002853,250,Fife,167,75,1497,,
S01003263,260,Strathclyde,168,156,1490,,
S01006245,395,Strathclyde,169,78,1487,,
S01000962,170,Dumfries & Galloway,170,94,1487,,
S01001348,190,Strathclyde,171,87,1483,,
S01002838,250,Fife,172,79,1476,,
S01003303,260,Strathclyde,173,310,1476,,
S01004007,270,Northern,174,84,1475,,
S01003270,260,Strathclyde,175,118,1471,,
S01000816,130,Strathclyde,176,100,1467,,
S01006065,380,Strathclyde,177,134,1467,,
S01006439,400,Lothian and Borders,178,109,1456,,
S01006189,395,Strathclyde,179,103,1454,,
S01006438,400,Lothian and Borders,180,90,1454,,
S01001213,180,Tayside,181,134,1452,,
S01000682,120,Tayside,182,118,1452,,
S01003907,270,Northern,183,108,1441,,
S01000208,100,Grampian,184,132,1440,,
S01003353,260,Strathclyde,185,115,1438,,
S01001226,180,Tayside,186,70,1436,,
S01005040,340,Tayside,187,159,1433,,
S01003849,270,Northern,188,131,1429,,
S01003389,260,Strathclyde,189,126,1428,,
S01002825,250,Fife,190,111,1423,,
S01001948,230,Lothian and Borders,191,123,1423,,
S01001200,180,Tayside,192,141,1422,,
S01004421,310,Strathclyde,193,113,1422,,
S01003223,260,Strathclyde,194,136,1418,,
S01005263,350,Strathclyde,195,72,1417,,
S01003420,260,Strathclyde,196,105,1416,,
S01004455,310,Strathclyde,197,115,1416,,
S01004789,320,Strathclyde,198,125,1411,,
S01003454,260,Strathclyde,199,86,1405,,
S01002278,230,Lothian and Borders,200,149,1404,,
S01005955,380,Strathclyde,201,102,1402,,
S01006277,395,Strathclyde,202,97,1396,,
S01002882,250,Fife,203,103,1394,,
S01005242,350,Strathclyde,204,130,1394,,
S01003531,260,Strathclyde,205,118,1390,,
S01003855,270,Northern,206,119,1388,,
S01005914,380,Strathclyde,207,122,1387,,
S01006312,400,Lothian and Borders,208,171,1387,,
S01002086,230,Lothian and Borders,209,95,1382,,
S01006202,395,Strathclyde,210,102,1381,,
S01001354,190,Strathclyde,211,103,1380,,
S01004787,320,Strathclyde,212,130,1379,,
S01000484,110,Grampian,213,111,1376,,
S01001966,230,Lothian and Borders,214,193,1374,,
S01003221,260,Strathclyde,215,114,1372,,
S01003424,260,Strathclyde,216,118,1370,,
S01005913,380,Strathclyde,217,109,1366,,
S01001597,210,Lothian and Borders,218,150,1362,,
S01000203,100,Grampian,219,90,1360,,
S01003582,260,Strathclyde,220,86,1359,,
S01003793,270,Northern,221,67,1358,,
S01003313,260,Strathclyde,222,135,1353,,
S01004587,320,Strathclyde,223,138,1353,,
S01005592,370,Strathclyde,224,65,1350,,
S01004532,320,Strathclyde,225,91,1346,,
S01000060,100,Grampian,226,77,1344,,
S01002843,250,Fife,227,117,1342,,
S01004422,310,Strathclyde,228,76,1342,,
S01004323,300,Grampian,229,83,1336,,
S01000211,100,Grampian,230,107,1334,,
S01004496,310,Strathclyde,231,82,1333,,
S01003922,270,Northern,232,121,1330,,
S01002842,250,Fife,233,82,1330,,
S01000209,100,Grampian,234,154,1329,,
S01000108,100,Grampian,235,89,1329,,
S01001879,230,Lothian and Borders,236,77,1322,,
S01000748,130,Strathclyde,237,62,1322,,
S01003327,260,Strathclyde,238,75,1321,,
S01002462,240,Central,239,91,1317,,
S01000057,100,Grampian,240,89,1313,,
S01005245,350,Strathclyde,241,119,1313,,
S01003296,260,Strathclyde,242,91,1313,,
S01003595,260,Strathclyde,243,122,1311,,
S01005255,350,Strathclyde,244,75,1311,,
S01001370,190,Strathclyde,245,101,1310,,
S01003374,260,Strathclyde,246,70,1307,,
S01001298,190,Strathclyde,247,103,1305,,
S01000767,130,Strathclyde,248,87,1305,,
S01005699,380,Strathclyde,249,101,1304,,
S01004126,290,Lothian and Borders,250,88,1302,,
S01001150,180,Tayside,251,85,1298,,
S01004562,320,Strathclyde,252,66,1295,,
S01000101,100,Grampian,253,123,1294,,
S01003605,260,Strathclyde,254,78,1285,,
S01003460,260,Strathclyde,255,141,1285,,
S01002540,240,Central,256,73,1282,,
S01005870,380,Strathclyde,257,90,1281,,
S01003920,270,Northern,258,92,1281,,
S01003044,260,Strathclyde,259,144,1278,,
S01005604,370,Strathclyde,260,65,1275,,
S01003337,260,Strathclyde,261,131,1274,,
S01004763,320,Strathclyde,262,119,1274,,
S01003824,270,Northern,263,96,1268,,
S01003452,260,Strathclyde,264,176,1258,,
S01004002,270,Northern,265,99,1258,,
S01003491,260,Strathclyde,266,38,1256,,
S01006250,395,Strathclyde,267,90,1256,,
S01004411,310,Strathclyde,268,66,1255,,
S01003357,260,Strathclyde,269,78,1253,,
S01004638,320,Strathclyde,270,65,1253,,
S01005047,340,Tayside,271,158,1247,,
S01003484,260,Strathclyde,272,124,1244,,
S01002324,230,Lothian and Borders,273,94,1244,,
S01006040,380,Strathclyde,274,102,1241,,
S01002211,230,Lothian and Borders,275,78,1241,,
S01005214,350,Strathclyde,276,90,1240,,
S01005646,370,Strathclyde,277,89,1237,,
S01001151,180,Tayside,278,82,1235,,
S01000037,100,Grampian,279,87,1234,,
S01000539,110,Grampian,280,108,1233,,
S01002066,230,Lothian and Borders,281,127,1230,,
S01004890,320,Strathclyde,282,69,1230,,
S01001865,230,Lothian and Borders,283,87,1228,,
S01005229,350,Strathclyde,284,128,1225,,
S01004412,310,Strathclyde,285,111,1224,,
S01005967,380,Strathclyde,286,114,1223,,
S01000194,100,Grampian,287,100,1222,,
S01001783,220,Strathclyde,288,69,1222,,
S01006063,380,Strathclyde,289,68,1220,,
S01001604,210,Lothian and Borders,290,76,1219,,
S01000210,100,Grampian,291,79,1215,,
S01003439,260,Strathclyde,292,126,1215,,
S01006334,400,Lothian and Borders,293,103,1212,,
S01001383,190,Strathclyde,294,66,1212,,
S01003707,260,Strathclyde,295,132,1209,,
S01004415,310,Strathclyde,296,73,1206,,
S01004782,320,Strathclyde,297,131,1205,,
S01001169,180,Tayside,298,116,1204,,
S01002279,230,Lothian and Borders,299,168,1200,,
S01000126,100,Grampian,300,100,1199,,
S01003301,260,Strathclyde,301,92,1197,,
S01001388,190,Strathclyde,302,126,1195,,
S01002076,230,Lothian and Borders,303,114,1192,,
S01003333,260,Strathclyde,304,107,1190,,
S01005707,380,Strathclyde,305,60,1189,,
S01001761,220,Strathclyde,306,77,1189,,
S01005221,350,Strathclyde,307,106,1186,,
S01003604,260,Strathclyde,308,91,1184,,
S01002512,240,Central,309,74,1184,,
S01000566,110,Grampian,310,81,1178,,
S01006124,390,Central,311,79,1176,,
S01002881,250,Fife,312,102,1174,,
S01005259,350,Strathclyde,313,65,1174,,
S01005429,355,Lothian and Borders,314,75,1174,,
S01003584,260,Strathclyde,315,96,1173,,
S01001610,210,Lothian and Borders,316,86,1172,,
S01005765,380,Strathclyde,317,103,1172,,
S01001546,200,Strathclyde,318,107,1171,,
S01000228,100,Grampian,319,84,1170,,
S01003673,260,Strathclyde,320,38,1169,,
S01002312,230,Lothian and Borders,321,77,1169,,
S01002823,250,Fife,322,106,1167,,
S01000199,100,Grampian,323,93,1166,,
S01003364,260,Strathclyde,324,78,1166,,
S01000658,120,Tayside,325,65,1165,,
S01005586,370,Strathclyde,326,98,1163,,
S01004765,320,Strathclyde,327,137,1163,,
S01004395,310,Strathclyde,328,63,1162,,
S01001309,190,Strathclyde,329,79,1161,,
S01002450,240,Central,330,86,1161,,
S01004603,320,Strathclyde,331,96,1161,,
S01000840,150,Central,332,78,1161,,
S01001135,180,Tayside,333,37,1158,,
S01003663,260,Strathclyde,334,65,1158,,
S01000175,100,Grampian,335,65,1151,,
S01005602,370,Strathclyde,336,77,1148,,
S01004225,290,Lothian and Borders,337,85,1146,,
S01003894,270,Northern,338,85,1146,,
