Data Zone,Local Authority Code,"Education, Skills and Training domain 2012 rank1","Education, Skills and Training domain 2012 score1",Working age people with no qualifications (2001)2,"People aged 16-19 not in full time education, employment or training rate 
(School Leavers 2009/10-2010-11, DWP 2010 and 2011)","Proportion of 17- 21 year olds entering higher education 
(HESA 2008/09-2010/11)3","Pupil Performance on SQA at Stage 4 (SQA, 2008/09-2010/11)5","School Pupil Absences 
(Scottish Government, 2009/10-2010/11)4,5",,Notes
S01000001,100,"4,795",-0.60,61.57,8,12.93,210,4.9,,"1.  The Education, Skills and Training domain score is calculated by ranking the indicators, transforming them to a standard normal distribution and combining them using weights generated by factor analysis.  The score is then ranked to provide the education domain rank."
S01000002,100,"5,360",-0.84,51.01,4,10,196,4.2,,
S01000003,100,"5,211",-0.77,49.25,2,6.96,222,5.6,,
S01000004,100,"5,255",-0.79,42.07,2,6.8,185,4.4,,2. The working age people without qualifications indicator uses exactly the same data as the SIMD 2009.
S01000005,100,"5,558",-0.93,50.88,8,10.96,229,4.7,,
S01000006,100,"4,239",-0.39,64.77,14,10.68,193,5.2,,3. The 17-21 year olds enrolling into higher education is the same indicator as in SIMD 2009. Values of less than 5% have been suppressed with an asterisk (*).
S01000007,100,"6,006",-1.27,46.59,2,17.65,213,3.8,,
S01000008,100,"4,135",-0.35,94.35,20,12.07,200,4.3,,
S01000009,100,"4,459",-0.47,92.66,6,9.48,207,4.9,,4.  The School pupil absences indicator is an estimate of pupil attendance and is the proportion of half days at school when pupils were absent from school.
S01000010,100,"4,898",-0.63,61.63,6,8.55,188,4.2,,
S01000011,100,"6,384",-1.75,31.47,0,18.86,255,4,,"5. The school absence and SQA performance data has been treated for disclosure by swapping the data zones for a small percentage of records before producing the aggregate results.  This has a negligible effect on the overall trends, but ensures that the confidentiality of individual records are maintained."
S01000012,100,"5,196",-0.76,69.91,2,10.65,192,4.3,,
S01000013,100,"5,006",-0.68,97.72,4,13.87,224,5,,
S01000014,100,"3,835",-0.24,81.24,5,10.91,174,6.4,,
S01000015,100,"4,734",-0.58,62.16,3,7.84,179,4.6,,6. Metadata for each indicator included in the education domain can be found in the SIMD technical notes. 
S01000016,100,"6,065",-1.32,39.51,2,12.22,222,3.7,,
S01000017,100,"4,249",-0.39,91.91,4,*,216,5.2,,
S01000018,100,"2,686",0.21,107.34,14,*,171,4.5,,
S01000019,100,"6,383",-1.75,27.86,2,22.09,249,3.9,,
S01000020,100,"5,500",-0.90,65.92,3,13.26,245,5.7,,
S01000021,100,"3,042",0.06,108.18,3,*,168,5.9,,
S01000022,100,"6,483",-2.15,23.29,1,24.58,267,3.1,,
S01000023,100,"6,447",-1.94,20.21,4,34.48,239,3.6,,
S01000024,100,"6,308",-1.62,33.22,0,25.61,238,4.5,,
S01000025,100,"6,454",-1.97,21.59,2,18.01,260,3.3,,
S01000026,100,"1,003",0.94,117.10,13,*,98,8.6,,
S01000027,100,"6,248",-1.50,34.97,2,20,241,4.1,,
S01000028,100,"1,420",0.74,136.18,19,*,127,7.1,,
S01000029,100,"6,496",-2.26,19.07,1,25,263,2.9,,
S01000030,100,"2,655",0.22,109.46,0,*,155,7.7,,
S01000031,100,"6,292",-1.59,26.40,2,20.18,240,4.3,,
S01000032,100,"2,020",0.49,118.42,9,5.33,130,7.4,,
S01000033,100,"1,680",0.62,121.87,7,*,167,8.8,,
