Data Zone,Local Authority Code,"Best-fit Working Age Population** (men 16-64, women 16-60 SAPE 2010)",Employment domain 2012 rank,Employment domain 2012 rate (%),Number of Employment Deprived People 2012 ,,Notes
S01000001,100,612,"4,518",7,45,,"1.  The count of the number of employment deprived people in a datazone is equal to the number of men aged 16-64 and women aged 16-60 who are on the claimant count, receive Incapacity Benefit, Employment and Support Allowance, or Severe Disablement Allowance."
S01000002,100,442,"6,106",3,15,,
S01000003,100,602,"6,340",2,10,,
S01000004,100,453,"6,403",2,10,,
S01000005,100,432,"5,918",4,15,,2. **A best-fit working age population covering men aged 16 to 64 (inclusive) and women aged 16 to 60 (inclusive) has replaced the previous working age population (men aged 16-64 and women aged 16-59) to account for changes to the female state pension age. 
S01000006,100,347,"4,030",8,30,,
S01000007,100,426,"5,706",4,15,,
S01000008,100,340,"3,978",9,30,,
S01000009,100,414,"5,192",5,20,,3.  The working age population for each datazone is taken from the 2010 mid-year small area population estimates published by the National Records of Scotland.
S01000010,100,389,"5,750",4,20,,
S01000011,100,655,"6,494",1,5,,
S01000012,100,898,"6,255",3,25,,4.  The employment domain rate is equal to the percentage of the datazone (best fit) working age population who are in receipt of these benefits.
S01000013,100,495,"5,046",6,25,,
S01000014,100,628,"5,522",5,30,,5.  The count of people receiving these benefits has been probabalistically rounded to base. The rate has been calculated using unrounded totals. However it is presented here to the nearest whole number. Consequently the numbers shown here will not add up to the Local Authority and Scotland totals.  The unrounded scores were used to calculate the employment domain rank.
S01000015,100,509,"6,231",3,15,,
S01000016,100,490,"6,495",1,5,,
S01000017,100,573,"4,930",6,35,,
S01000018,100,339,"4,261",8,25,,
S01000019,100,345,"6,270",3,10,,
S01000020,100,608,"3,141",11,70,,6.  The benefits information for this domain were provided by the Department for Work and Pensions and the claimant count data is from NOMIS.  The benefits data are from August 2011 and the NOMIS data are 2011 annual average (Jan-Dec).
S01000021,100,561,"3,897",9,50,,
S01000022,100,443,"6,449",2,10,,
S01000023,100,507,"6,469",1,5,,
S01000024,100,329,"6,488",1,0,,"7.  For more information on the SIMD employment domain and indicators, please refer to the SIMD technical notes. "
S01000025,100,624,"6,195",3,20,,
S01000026,100,485,"1,248",21,100,,
S01000027,100,457,"5,539",5,25,,
S01000028,100,529,"2,224",15,80,,
S01000029,100,653,"6,499",0,5,,
S01000030,100,277,"2,327",15,40,,
S01000031,100,553,"6,245",3,15,,
S01000032,100,554,"3,089",12,65,,
S01000033,100,381,"1,860",17,70,,
S01000034,100,833,"6,496",1,5,,
S01000035,100,660,"3,691",9,65,,
S01000036,100,435,"2,211",15,70,,
S01000037,100,428,"2,934",12,50,,
S01000038,100,502,"3,414",10,50,,
S01000039,100,566,"3,155",11,65,,
S01000040,100,525,"2,849",13,65,,
S01000041,100,425,"3,627",10,45,,
S01000042,100,555,"2,465",14,75,,
S01000043,100,520,"4,628",7,35,,
S01000044,100,509,"2,031",16,85,,
S01000045,100,339,"6,436",2,5,,
S01000046,100,404,"6,454",1,5,,
S01000047,100,515,"3,768",9,50,,
S01000048,100,605,"6,404",2,10,,
S01000049,100,408,"6,408",2,10,,
S01000050,100,387,"5,633",4,15,,
S01000051,100,420,"6,369",2,10,,
S01000052,100,379,"1,272",21,80,,
S01000053,100,667,"5,902",4,25,,
S01000054,100,402,"6,479",1,5,,
S01000055,100,468,"1,396",20,95,,
S01000056,100,656,"5,987",4,25,,
S01000057,100,421,"1,197",22,90,,
S01000058,100,459,"6,210",3,10,,
S01000059,100,610,"6,267",3,15,,
S01000060,100,340,269,32,110,,
S01000061,100,578,"6,385",2,10,,
S01000062,100,726,"6,146",3,20,,
S01000063,100,539,"6,317",2,10,,
S01000064,100,415,"4,162",8,35,,
S01000065,100,629,"3,893",9,55,,
S01000066,100,632,"2,352",15,95,,
S01000067,100,572,"5,401",5,30,,
S01000068,100,505,"6,324",2,10,,
S01000069,100,439,"1,647",19,85,,
S01000070,100,386,"2,075",16,65,,
S01000071,100,509,"1,404",20,100,,
S01000072,100,480,"4,037",8,40,,
S01000073,100,353,"6,042",3,10,,
S01000074,100,521,789,25,130,,
S01000075,100,365,"5,512",5,20,,
S01000076,100,406,"6,355",2,10,,
S01000077,100,609,"5,469",5,30,,
S01000078,100,696,"1,964",17,115,,
S01000079,100,"1,015","6,444",2,20,,
S01000080,100,573,"5,874",4,20,,
S01000081,100,584,"6,392",2,10,,
S01000082,100,607,"2,138",16,95,,
S01000083,100,529,"6,209",3,15,,
S01000084,100,581,"1,420",20,120,,
S01000085,100,530,"4,453",7,40,,
S01000086,100,575,"6,271",3,15,,
S01000087,100,739,"6,453",1,15,,
S01000088,100,674,"5,916",4,25,,
S01000089,100,529,"6,474",1,10,,
S01000090,100,554,"6,428",2,10,,
S01000091,100,874,"4,699",7,55,,
S01000092,100,659,"5,887",4,25,,
S01000093,100,544,"4,063",8,45,,
S01000094,100,578,"5,802",4,25,,
S01000095,100,625,"6,281",3,15,,
S01000096,100,388,"1,309",21,85,,
S01000097,100,833,"6,489",1,10,,
S01000098,100,973,"2,207",15,150,,
S01000099,100,517,"6,411",2,10,,
S01000100,100,710,"3,678",9,65,,
S01000101,100,675,"6,387",2,15,,
S01000102,100,577,"1,822",18,100,,
S01000103,100,499,"6,466",1,10,,
S01000104,100,570,"6,484",1,5,,
S01000105,100,521,"5,875",4,20,,
S01000106,100,529,"6,482",1,5,,
S01000107,100,887,"3,806",9,80,,
S01000108,100,491,"3,020",12,55,,
S01000109,100,866,"4,055",8,75,,
S01000110,100,406,"4,941",6,25,,
S01000111,100,485,"5,988",4,15,,
S01000112,100,749,"3,143",11,85,,
S01000113,100,412,"6,363",2,10,,
S01000114,100,525,"2,239",15,80,,
S01000115,100,503,"2,225",15,75,,
S01000116,100,983,"6,171",3,30,,
S01000117,100,577,"6,315",2,10,,
S01000118,100,387,"3,273",11,45,,
S01000119,100,605,"2,242",15,90,,
S01000120,100,369,"5,886",4,15,,
S01000121,100,418,"2,712",13,55,,
S01000122,100,433,"1,899",17,70,,
S01000123,100,414,"5,754",4,15,,
S01000124,100,"1,112","5,194",5,60,,
