Data Zone,Local Authority Code,"Housing domain rank 2004, 2006, 2009 & 2012","Housing domain score 2004, 2006, 2009 & 2012","Household Population (Census, 2001)","Percentage of household population living in households without central heating (Census, 2001) ","Percentage of household population living in households that are overcrowded (Census, 2001)",,Notes
S01000001,100,3929,13.48,846,4.61,8.87,,1 . The Housing domain remains unchanged since the SIMD 2004.  The domain score is a sum of the overcrowding and central heating indicators.
S01000002,100,5880,5.09,687,0.29,4.80,,
S01000003,100,4784,10.38,838,4.77,5.61,,"2.  For more information on the SIMD housing domain and indicators, please refer to the SIMD technical notes. "
S01000004,100,5755,5.77,641,1.09,4.68,,
S01000005,100,5149,8.90,663,1.06,7.84,,
S01000006,100,3924,13.49,593,3.71,9.78,,
S01000007,100,6260.5,3.01,830,0.96,2.05,,
S01000008,100,3280,15.75,584,4.11,11.64,,
S01000009,100,4013,13.17,706,2.55,10.62,,
S01000010,100,4916,9.86,568,2.11,7.75,,
S01000011,100,6142,3.76,877,1.48,2.28,,
S01000012,100,5802,5.50,872,1.26,4.24,,
S01000013,100,3715,14.14,898,2.90,11.25,,
S01000014,100,4224,12.40,919,2.50,9.90,,
S01000015,100,3330,15.57,655,4.73,10.84,,
S01000016,100,5267,8.39,560,1.25,7.14,,
S01000017,100,4641,10.89,937,0.85,10.03,,
S01000018,100,3744,14.04,577,4.51,9.53,,
S01000019,100,6401,1.87,588,1.02,0.85,,
S01000020,100,5052,9.32,805,1.61,7.70,,
S01000021,100,3788,13.92,862,2.78,11.14,,
S01000022,100,6475,0.96,729,0.27,0.69,,
S01000023,100,6367,2.24,805,0.25,1.99,,
S01000024,100,5031,9.43,488,5.53,3.89,,
S01000025,100,6476,0.94,850,0.12,0.82,,
S01000026,100,2081,21.18,930,2.90,18.28,,
S01000027,100,6029,4.29,815,0.98,3.31,,
S01000028,100,2105,21.05,969,3.92,17.13,,
S01000029,100,6138,3.77,742,0.00,3.77,,
S01000030,100,1267.5,28.00,500,4.00,24.00,,
S01000031,100,6086,4.04,866,1.62,2.42,,
S01000032,100,2552,18.73,1089,2.85,15.89,,
S01000033,100,1643,24.50,796,3.64,20.85,,
S01000034,100,6343,2.38,925,1.30,1.08,,
S01000035,100,2972,16.95,1009,2.28,14.67,,
S01000036,100,2670,18.23,702,0.43,17.81,,
S01000037,100,2047,21.33,736,5.16,16.17,,
S01000038,100,2361,19.67,854,2.69,16.98,,
S01000039,100,1708,23.78,942,2.87,20.91,,
S01000040,100,2045,21.34,970,2.16,19.18,,
S01000041,100,5624,6.53,827,2.42,4.11,,
S01000042,100,3161,16.20,790,0.63,15.57,,
S01000043,100,2651,18.28,837,3.94,14.34,,
S01000044,100,1582,25.05,946,3.59,21.46,,
S01000045,100,5936,4.82,581,1.89,2.93,,
S01000046,100,6414,1.70,763,0.26,1.44,,
S01000047,100,1152,29.56,751,7.72,21.84,,
S01000048,100,5608,6.59,925,3.03,3.57,,
S01000049,100,6105,3.93,737,1.49,2.44,,
S01000050,100,5723,5.95,588,2.38,3.57,,
S01000051,100,6210,3.30,788,1.78,1.52,,
S01000052,100,1457,26.14,677,1.48,24.67,,
S01000053,100,4248,12.33,1022,3.03,9.30,,
S01000054,100,6122,3.86,777,2.32,1.54,,
S01000055,100,1794,23.07,711,2.81,20.25,,
S01000056,100,5969,4.67,1049,1.05,3.62,,
S01000057,100,1079,30.43,700,2.86,27.57,,
S01000058,100,6266,2.99,703,1.56,1.42,,
S01000059,100,5960,4.71,785,1.40,3.31,,
S01000060,100,1676,24.09,577,6.24,17.85,,
S01000061,100,6273,2.93,955,1.05,1.88,,
S01000062,100,1799,23.03,990,10.91,12.12,,
