Data Zone,Local Authority Code,Total Population (SAPE 2010),Income domain 2012 rank,Income domain 2012 rate (%),Number of Income Deprived People 2012
S01000001,100,914,"4,102",8,75
S01000002,100,662,"6,489",1,5
S01000003,100,795,"6,284",2,15
S01000004,100,621,"6,494",0,5
S01000005,100,605,"5,308",5,30
S01000006,100,643,"4,018",9,55
S01000007,100,809,"5,564",4,30
S01000008,100,553,"4,227",8,45
S01000009,100,660,"4,496",7,45
S01000010,100,544,"5,774",3,20
S01000011,100,"1,075","6,476",1,10
S01000012,100,"1,406","5,934",3,45
S01000013,100,794,"4,303",8,60
S01000014,100,933,"5,982",3,30
S01000015,100,677,"6,401",1,10
S01000016,100,696,"6,468",1,5
S01000017,100,840,"4,715",6,55
S01000018,100,499,"5,979",3,15
S01000019,100,693,"5,908",3,20
S01000020,100,"1,004","3,520",10,105
S01000021,100,846,"4,414",7,60
S01000022,100,746,"6,458",1,10
S01000023,100,829,"6,406",1,10
S01000024,100,525,"5,886",3,15
S01000025,100,931,"6,148",2,25
S01000026,100,796,"1,774",19,150
S01000027,100,800,"6,068",3,20
S01000028,100,851,"2,558",15,125
S01000029,100,"1,050","6,464",1,10
S01000030,100,479,"2,296",16,75
S01000031,100,983,"6,069",3,25
S01000032,100,959,"2,883",13,125
S01000033,100,682,"1,611",20,135
S01000034,100,"1,247","6,421",1,15
S01000035,100,"1,032","3,717",10,100
S01000036,100,673,"2,245",16,110
S01000037,100,702,"3,059",12,85
S01000038,100,771,"3,554",10,80
S01000039,100,870,"3,315",11,95
S01000040,100,871,"3,490",10,90
S01000041,100,763,"3,834",9,70
S01000042,100,788,"3,436",11,85
S01000043,100,770,"3,098",12,95
S01000044,100,838,"1,407",21,180
S01000045,100,575,"6,347",2,10
S01000046,100,746,"6,402",1,10
S01000047,100,749,"3,430",11,80
S01000048,100,914,"6,455",1,10
S01000049,100,723,"5,849",3,25
S01000050,100,685,"5,342",5,30
S01000051,100,807,"6,375",2,15
S01000052,100,591,686,28,165
S01000053,100,"1,055","4,476",7,75
S01000054,100,785,"5,962",3,25
S01000055,100,792,"1,047",24,190
S01000056,100,"1,068","6,247",2,25
S01000057,100,677,803,27,180
S01000058,100,705,"6,213",2,15
S01000059,100,884,"6,424",1,10
S01000060,100,572,340,33,185
S01000061,100,"1,012","6,358",2,15
S01000062,100,948,"5,778",3,35
S01000063,100,901,"6,263",2,20
S01000064,100,607,"3,863",9,55
S01000065,100,886,"4,483",7,60
S01000066,100,817,"3,727",10,80
S01000067,100,985,"5,369",4,45
S01000068,100,861,"5,624",4,35
S01000069,100,686,"1,495",21,140
S01000070,100,645,"1,920",18,115
S01000071,100,762,"1,223",23,175
S01000072,100,856,"4,053",8,70
S01000073,100,593,"5,752",4,20
S01000074,100,867,"1,003",25,215
S01000075,100,517,"5,375",4,25
S01000076,100,764,"6,353",2,15
S01000077,100,917,"6,106",3,25
S01000078,100,871,"2,782",14,120
S01000079,100,"1,263","6,399",2,20
S01000080,100,775,"4,887",6,45
S01000081,100,938,"6,418",1,15
S01000082,100,947,"1,460",21,195
S01000083,100,782,"6,431",1,10
S01000084,100,739,"2,401",15,115
S01000085,100,616,"4,763",6,40
S01000086,100,775,"5,991",3,25
S01000087,100,"1,074","6,300",2,20
S01000088,100,847,"5,362",4,40
S01000089,100,957,"6,437",1,10
S01000090,100,786,"5,904",3,25
S01000091,100,"1,083","4,625",7,70
S01000092,100,800,"5,606",4,30
S01000093,100,680,"4,461",7,50
S01000094,100,683,"5,496",4,30
S01000095,100,817,"5,806",3,30
S01000096,100,707,"2,227",16,115
S01000097,100,"1,206","6,440",1,15
S01000098,100,"1,138","3,245",11,130
S01000099,100,872,"6,400",1,15
S01000100,100,839,"3,672",10,80
S01000101,100,947,"6,381",2,15
S01000102,100,785,"2,461",15,120
S01000103,100,611,"6,335",2,10
S01000104,100,932,"6,487",1,5
S01000105,100,809,"6,377",2,15
S01000106,100,795,"6,419",1,10
S01000107,100,"1,019","3,998",9,90
S01000108,100,670,"2,672",14,95
S01000109,100,"1,100","4,602",7,75
S01000110,100,814,"4,037",8,70
S01000111,100,723,"6,142",2,20
S01000112,100,"1,000","3,423",11,105
S01000113,100,613,"6,158",2,15
S01000114,100,795,"2,421",15,120
S01000115,100,836,"2,396",15,130
S01000116,100,"1,157","6,027",3,35
S01000117,100,959,"5,019",5,50
S01000118,100,662,"3,768",9,60
S01000119,100,791,"2,563",15,115
S01000120,100,518,"4,837",6,30
S01000121,100,714,"4,021",9,60
S01000122,100,698,"2,667",14,100
S01000123,100,675,"6,185",2,15
S01000124,100,"1,268","5,112",5,65
S01000125,100,"1,037","2,744",14,140
S01000126,100,837,"1,813",18,155
S01000127,100,743,"6,426",1,10
S01000128,100,"2,052","5,291",5,95
S01000129,100,875,"6,436",1,10
S01000130,100,"1,277","4,467",7,90
S01000131,100,613,"6,063",3,15
S01000132,100,709,"4,949",6,40
S01000133,100,655,"1,940",18,115
S01000134,100,710,"1,291",22,155
S01000135,100,680,"1,135",23,160
S01000136,100,636,"2,151",17,105
S01000137,100,816,"3,571",10,85
S01000138,100,"1,151","5,313",5,55
S01000139,100,776,"2,789",14,105
S01000140,100,808,"3,476",11,85
S01000141,100,796,"5,819",3,25
S01000142,100,705,"1,008",25,175
S01000143,100,728,"6,307",2,15
S01000144,100,686,"5,455",4,30
S01000145,100,742,"1,446",21,155
S01000146,100,"1,383","3,100",12,165
S01000147,100,"1,097","4,300",8,85
S01000148,100,590,"1,582",20,115
S01000149,100,"1,101","3,663",10,110
S01000150,100,638,"2,756",14,85
S01000151,100,860,"1,685",19,165
S01000152,100,"1,093","4,585",7,75
S01000153,100,793,"3,979",9,70
S01000154,100,508,"3,150",12,60
S01000155,100,730,"2,567",15,105
S01000156,100,"1,133","2,388",15,175
S01000157,100,630,"1,086",24,150
S01000158,100,863,"2,746",14,120
S01000159,100,"1,114","6,135",3,30
S01000160,100,738,"3,607",10,75
S01000161,100,992,"5,975",3,30
S01000162,100,875,"3,351",11,95
S01000163,100,973,"2,276",16,155
S01000164,100,810,"3,734",10,75
S01000165,100,823,"1,605",20,160
S01000166,100,"1,457","5,950",3,45
S01000167,100,658,"2,359",16,100
S01000168,100,935,"2,024",17,160
S01000169,100,747,"4,229",8,60
S01000170,100,"1,228","5,812",3,40
S01000171,100,"1,030","6,343",2,20
S01000172,100,492,"5,612",4,20
S01000173,100,766,"2,577",14,110
S01000174,100,979,"6,497",0,5
S01000175,100,565,"3,826",9,50
S01000176,100,760,"5,505",4,30
S01000177,100,533,"5,741",4,20
S01000178,100,798,"2,594",14,115
S01000179,100,795,579,29,230
S01000180,100,635,"2,001",17,110
S01000181,100,534,"1,416",21,115
S01000182,100,845,"2,657",14,120
S01000183,100,"1,179","2,445",15,180
S01000184,100,724,"5,234",5,35
S01000185,100,881,"1,531",20,180
S01000186,100,831,"3,485",10,85
S01000187,100,609,"3,148",12,70
S01000188,100,"1,088","3,435",11,115
S01000189,100,607,637,28,170
S01000190,100,825,"2,336",16,130
S01000191,100,"1,029","5,130",5,55
S01000192,100,748,"1,636",20,145
S01000193,100,704,"1,709",19,135
S01000194,100,820,"1,013",25,200
S01000195,100,737,"1,375",21,160
S01000196,100,878,430,31,270
S01000197,100,536,"2,484",15,80
S01000198,100,745,342,32,240
S01000199,100,796,869,26,205
S01000200,100,798,"2,645",14,115
S01000201,100,604,"2,559",15,90
S01000202,100,874,"3,629",10,85
S01000203,100,665,766,27,180
S01000204,100,552,"1,731",19,105
S01000205,100,"1,144","4,098",8,95
S01000206,100,637,"3,758",9,60
S01000207,100,902,905,25,230
S01000208,100,916,798,27,245
S01000209,100,"1,162",283,34,390
S01000210,100,648,986,25,160
S01000211,100,801,"1,191",23,185
S01000212,100,719,"2,464",15,110
S01000213,100,826,"2,268",16,130
S01000214,100,466,"3,951",9,40
S01000215,100,993,"5,061",5,55
S01000216,100,609,"5,433",4,25
S01000217,100,693,"1,481",21,145
S01000218,100,608,"3,425",11,65
S01000219,100,846,"1,248",22,190
S01000220,100,"2,368","5,954",3,75
S01000221,100,816,"1,642",19,160
S01000222,100,707,"3,487",10,75
S01000223,100,533,"5,286",5,25
S01000224,100,842,"3,312",11,95
S01000225,100,545,"4,433",7,40
S01000226,100,584,"6,317",2,10
S01000227,100,"1,156","5,972",3,35
S01000228,100,715,"4,346",7,55
S01000229,100,748,"2,727",14,105
S01000230,100,665,"4,561",7,45
S01000231,100,661,"6,259",2,15
S01000232,100,643,"2,848",13,85
S01000233,100,515,"3,012",12,65
S01000234,100,707,"6,122",3,20
S01000235,100,914,"5,996",3,25
S01000236,100,663,"5,292",5,30
S01000237,100,880,"6,139",3,20
S01000238,100,464,"6,303",2,10
S01000239,100,708,"6,174",2,15
S01000240,100,621,"5,296",5,30
S01000241,100,714,"6,470",1,5
S01000242,100,801,"6,021",3,25
S01000243,100,648,"6,502",0,0
S01000244,100,"1,005","4,365",7,75
S01000245,100,846,"4,865",6,50
S01000246,100,671,"5,933",3,20
S01000247,100,659,"6,501",0,0
S01000248,100,731,"6,454",1,10
S01000249,100,661,"5,781",3,25
S01000250,100,780,"6,242",2,15
S01000251,100,436,"6,326",2,10
S01000252,100,785,"6,364",2,15
S01000253,100,701,"6,490",1,5
S01000254,100,797,"6,066",3,20
S01000255,100,542,"6,325",2,10
S01000256,100,837,"4,580",7,55
S01000257,100,843,"5,355",5,40
S01000258,100,666,"6,333",2,10
S01000259,100,600,"6,362",2,10
S01000260,100,932,"6,351",2,15
S01000261,100,908,"5,900",3,30
S01000262,100,909,"5,671",4,35
S01000263,100,766,"4,095",8,65
S01000264,100,838,"4,009",9,70
S01000265,100,690,"4,356",7,50
S01000266,100,"1,217","4,490",7,85
S01000267,100,686,"3,868",9,60
S01000268,110,730,"2,567",15,105
S01000269,110,701,"5,616",4,25
S01000270,110,960,"4,916",6,55
S01000271,110,818,"4,109",8,65
S01000272,110,999,"5,111",5,50
S01000273,110,658,"3,943",9,60
S01000274,110,668,"3,984",9,60
S01000275,110,"1,271","4,405",7,90
