Data Zone,Local Authority Code,Geographic Access domain 2012 rank,Geographic Access domain 2012 score,Drive times sub-domain 2012 rank,Public transport sub-domain 2012 rank,Drive time to GP 2012 (mins),Drive time to Petrol Station 2012 (mins),"Drive time to Post Office 2012 
(mins)",Drive time to Primary School 2012 (mins),Drive time to Secondary School 2012 (mins),"Drive time to retail centre 2012 
(mins)",Public transport travel time to GP 2012 (mins),Public transport travel time to Post Office 2012 (mins),Public transport travel time to retail centre 2012 (mins),,Notes
S01000001,100,"3,420",14.95,3072,4005,4.45,4.02,2.35,4.08,10.64,2.16,10.66,5.95,5.21,,"1. The Geographic Access domain score is calculated by ranking the indicators, standardising them to a standard normal distribution and combining them using weights generated by Factor Analysis.  The drive times and public transport times are calculated separately to create two sub domains, which are then combined using the weightings: drive time: 0.66 and public transport travel times: 0.33."
S01000002,100,"2,151",24.36,1778,3357,3.03,4.4,2.2,3.44,8.68,8.01,6.33,6.84,17.94,,
S01000003,100,"3,036",17.39,2485,4402,2.45,3.82,1.83,4.15,8.25,7.42,5.03,5.64,16.87,,
S01000004,100,"1,462",32.17,1479,1680,3.84,4.75,3.11,2.02,8.7,8.33,8.22,11.49,20.37,,
S01000005,100,"3,431",14.86,3122,3922,4.44,4.3,2.39,4.01,10.65,2.04,10.13,6.36,5.78,,
S01000006,100,"5,577",4.05,5549,5231,2.83,2.96,1.95,1.96,9.31,2.18,6.62,5.33,6.28,,"2.The population denominator for the primary and secondary school drive times are based on primary and secondary school populations, respectively."
S01000007,100,"5,160",6.07,4661,5672,2.43,2.38,2.54,3.71,8.68,2.77,3.76,7.07,7.54,,
S01000008,100,"3,950",11.95,3791,3925,3.52,3.95,2.53,2.19,10.22,2.77,9.65,6.11,6.66,,"3. For more information on the SIMD Geographic Access to Services domain and indicators, please refer to the SIMD technical notes. "
S01000009,100,"2,725",19.58,2141,4413,3.32,4.28,1.54,3.64,8.63,7.88,6.36,3.67,17.06,,
S01000010,100,"3,855",12.51,3274,4879,1.78,3.15,2.17,4.26,7.53,6.75,3.27,8.23,16.15,,
S01000011,100,"1,623",29.75,1394,2618,4.65,3.82,4.32,3.18,7.15,4.55,9.29,9.48,9.92,,
S01000012,100,"1,201",36.40,1219,1377,3.99,3.79,3.53,4.09,7.11,6.55,10.03,11.36,17.15,,
S01000013,100,"1,679",29.05,1341,3101,5.17,5.02,3.26,4.66,11.35,3.07,10.48,7.74,7.25,,
S01000014,100,"1,987",25.88,1820,2614,3.36,3.81,2.29,3.6,7.93,7.42,8.89,6,17.49,,
S01000015,100,"4,155",10.87,3877,4335,2.1,2.29,2.49,3.33,6.7,5.93,5.27,6.18,14.84,,
S01000016,100,"1,207",36.30,863,2717,4.91,5.35,5.77,4.43,5.36,6.07,9.34,8.52,10.23,,
S01000017,100,"3,721",13.30,3372,4143,2.4,2.67,2.57,2.88,6.96,6.27,5.61,6.43,14.19,,
S01000018,100,"4,031",11.52,3775,4190,2.44,2.11,2.38,3.67,6.44,5.71,6.88,5.11,12.36,,
S01000019,100,"1,524",31.25,1326,2359,5.31,4.54,5.03,2.07,6.46,5.26,9.84,9.72,10,,
S01000020,100,"1,662",29.24,1154,4035,2.98,7.37,3.39,7.28,3.61,8.65,6.3,5.49,14.61,,
S01000021,100,"2,609",20.55,2832,2223,4.13,2.13,2.17,6.03,4.77,5.26,12.62,4.76,14.13,,
S01000022,100,961,40.98,807,1634,4.57,6.94,5.11,6.69,3.69,7.67,11.68,8.48,13.58,,
S01000023,100,723,47.05,822,669,6.01,5.17,5.66,3.44,7.07,5.88,16.93,16.86,17.16,,
S01000024,100,530,54.63,558,474,7.47,7.2,5.39,8.1,12.93,5.16,24.45,20.93,22.73,,
S01000025,100,964,40.91,1053,981,4.29,7.98,4.71,4.64,2.43,8.78,13.54,10.11,17.03,,
S01000026,100,"3,570",14.16,3354,3735,3.76,2.46,2.08,5.19,4.02,4.85,10.63,3.55,10.01,,
S01000027,100,"1,549",30.84,1359,2377,3.54,8,3.95,4.99,2.13,9.02,9.48,6.97,15.02,,
S01000028,100,"4,282",10.16,4744,3177,2.81,2.78,1.76,3.96,3.22,4.71,9.85,4.24,13.52,,
S01000029,100,678,48.61,769,609,4.76,7.01,5.18,6.52,3.65,8.6,18.15,15.07,20.8,,
S01000030,100,"3,652",13.66,3829,3064,2.34,3.76,2.48,4.1,2.97,5.53,7.3,7.05,15.97,,
S01000031,100,"2,027",25.45,1466,4221,3.11,6.31,2.19,7.35,4.03,8.65,6.27,4.42,16.43,,
S01000032,100,"3,662",13.61,3434,3834,2.43,4.02,2.46,3.84,4.22,4.87,6.43,5.85,14.93,,
S01000033,100,"5,517",4.30,5424,5298,1.67,3.66,1.8,3.34,2.81,4.84,4.38,4.01,14.52,,
S01000034,100,"1,353",33.88,982,2947,4.18,5.84,2.7,7.06,5.1,8.08,8.29,5.53,17.56,,
S01000035,100,"3,316",15.63,2836,4284,2.34,3.21,2.78,4.42,7.21,4.84,5.49,8.32,10.47,,
S01000036,100,"2,172",24.15,1954,2870,2.6,3.57,3.26,4.89,7.64,5.38,7.97,9.67,10.76,,
S01000037,100,"2,958",17.91,2779,3292,3.06,3.63,3.12,5.25,4.57,3.76,7.9,7.46,11.01,,
S01000038,100,"3,931",12.07,3461,4630,2.46,3.85,2.62,3.94,3.68,5.09,6.02,4.89,12.33,,
S01000039,100,"1,154",37.26,1000,1804,3.79,4.77,3.65,4.99,8.02,6.35,10.31,9.27,13.86,,
S01000040,100,"5,930",2.58,5791,5835,1.49,3.82,1.54,2.81,3.83,3.99,3.41,3.2,14.69,,
S01000041,100,"3,883",12.33,3759,3798,2.61,3.17,2.69,3.7,4.57,4.2,8.1,6.88,8.74,,
S01000042,100,"5,270",5.47,4880,5607,2.93,3.1,1.63,2,7.08,3.93,7.87,3.08,5.17,,
S01000043,100,"5,143",6.16,5030,4818,3.52,2.02,1.97,3.03,5.88,2.95,10.94,4.12,4.09,,
S01000044,100,"4,401",9.59,3924,5018,2.61,3.06,1.83,3.35,7.12,4.56,6.11,4.84,9.36,,
S01000045,100,"1,343",34.11,1085,2363,3.9,4.35,3.26,5.32,6.98,6.59,9.27,8.06,13.38,,
S01000046,100,"1,420",32.90,1364,1784,3.54,3.85,2.76,5.43,6.7,6.75,10.56,8.37,14.93,,
S01000047,100,"4,177",10.79,3777,4617,3.89,2.49,2.26,3.64,5.66,3.51,10.14,4.18,5.74,,
S01000048,100,"1,754",28.08,1685,2262,3.44,4.21,2.76,4.19,6.84,5.59,10.41,7.93,11.78,,
S01000049,100,"2,406",22.19,2826,1786,3.43,3.4,2.53,3.31,6.28,4.43,12.64,8.11,11.23,,
S01000050,100,"3,863",12.46,4543,2549,3.79,2.66,2.63,1.71,5.23,3.69,11.42,7.22,9.42,,
S01000051,100,"1,750",28.14,2121,1415,3.34,3.58,2.53,3.34,6.5,6.66,11.47,7.81,18.86,,
S01000052,100,"3,404",15.06,3054,3990,3.96,6.02,4.35,3.03,2.95,2.85,8.1,10.52,4.83,,
S01000053,100,"3,794",12.84,3671,3720,3.77,3.11,2.29,3.33,4.77,3.75,9.64,5.47,8.31,,
S01000054,100,"2,984",17.79,3117,2660,2.64,3.15,1.97,4.1,6.18,5.92,9.5,5.86,14.96,,
S01000055,100,"5,342",5.13,5242,5083,2.93,5.48,3.17,3.11,1.88,2.25,6.45,8.52,4.38,,
S01000056,100,772,45.42,911,688,4.13,6.54,4.04,7.26,3.23,9.55,14.79,14.59,22.17,,
S01000057,100,"4,392",9.65,4972,3097,3.75,6.13,3.6,1.3,2.35,2.95,8.76,10.62,7.47,,
S01000058,100,"2,385",22.34,2517,2212,3.21,3.78,3.13,3.43,5.29,4.62,10.24,9.73,10.27,,
S01000059,100,"1,940",26.31,2028,1990,3.56,5.36,3.28,4.38,4.59,3.98,10.59,10.02,10.78,,
S01000060,100,"2,618",20.45,3068,1916,4.39,6.88,3.27,2.55,2.89,3.47,11.12,11.65,9.18,,
S01000061,100,"1,799",27.72,2385,1178,3.34,3.36,2.57,2.84,6.43,6.67,12.19,8.51,20.02,,
S01000062,100,"4,048",11.43,3658,4520,4.13,3.67,2.1,2.79,4.72,3.71,8.7,4.55,7.56,,
S01000063,100,"3,309",15.67,3257,3235,4.02,3.57,2.75,2.5,4.71,4.04,9.81,6.98,8.37,,
S01000064,100,"5,752",3.28,5434,6041,2.56,6.12,2.51,3.31,1.81,2.52,3.43,6.72,5.05,,
S01000065,100,"4,130",10.99,3784,4475,3.87,3.82,1.97,3.44,4.41,3.44,8.51,4.61,7.99,,
S01000066,100,"5,975",2.38,5823,5932,2.78,5.79,2.17,2.33,2,2.32,4.73,5.32,4.57,,
S01000067,100,"5,017",6.76,4606,5306,1.75,3.59,1.98,3.38,4.87,4.78,3.71,6.11,12.74,,
S01000068,100,"2,920",18.14,2701,3380,3.62,4.72,2.73,3.43,4.83,3.79,9,6.71,9.5,,
S01000069,100,"5,415",4.81,4998,5834,2.9,6.72,2.54,4.03,1.64,2.73,4.21,6.04,6.09,,
S01000070,100,"4,188",10.74,4727,2961,3.75,6.73,2.54,2.53,2.16,2.78,9.3,9.21,8.36,,
S01000071,100,"4,340",9.90,4400,3829,3.51,6.87,2.57,3.73,2.03,2.79,7.85,7.9,7.83,,
S01000072,100,761,45.80,871,714,5.97,5.35,5.07,4.6,3.65,7.27,15.38,14.43,18.97,,
S01000073,100,"4,539",8.92,4248,4683,2.17,2.87,1.87,3.41,5.56,5.49,5.68,4.04,15.86,,
S01000074,100,"1,739",28.24,1917,1712,4.77,7.1,3.59,3.99,3.15,3.79,11.57,11.67,9.83,,
S01000075,100,"5,547",4.18,5198,5865,3.29,4.06,1.46,3.37,3.69,2.72,6.95,2.4,6.24,,
S01000076,100,"1,243",35.69,1627,846,4.32,2.7,3.51,3.77,5.69,6.76,13.04,11.75,20.51,,
S01000077,100,"3,191",16.36,3322,2837,3.18,4.86,3.41,3.13,3.43,3.54,9.35,9.03,8.99,,
S01000078,100,"6,447",0.36,6401,6406,2.95,5.97,1.2,1.93,2.18,1.44,5,2.27,2.51,,
S01000079,100,"3,369",15.25,3348,3240,2.77,5.71,3.17,3.12,3.85,3.6,7.93,9.22,9.16,,
S01000080,100,"5,735",3.33,5564,5723,3.15,4.34,1.53,2.8,3.16,2.56,6.86,3.26,5.59,,
S01000081,100,"3,504",14.49,3382,3514,2.47,4.05,2.96,4.67,4.1,3.77,6.99,8.34,10.96,,
S01000082,100,"2,495",21.47,2770,2052,4.73,7.51,3.09,2.78,3.2,3.32,11.21,10.04,9.46,,
S01000083,100,"5,003",6.80,4938,4593,3,5.15,2.77,2.11,2.96,2.84,7.67,7.08,5.89,,
S01000084,100,"5,720",3.44,5625,5524,3.61,6.58,1.66,2.95,2.5,1.89,7.33,4.36,4.57,,
S01000085,100,"6,006",2.27,5841,5976,2.68,4.82,1.69,2.77,2.99,2.1,5.99,3.39,4.4,,
S01000086,100,"4,134",10.97,4635,2988,2.88,5.34,2.7,1.77,4.09,3.17,8.49,9,9.87,,
S01000087,100,"3,118",16.81,2981,3314,2.99,2.93,2.96,4.01,4.92,4.76,7.34,8.82,10.52,,
S01000088,100,"5,356",5.06,5394,4842,2.79,5.06,1.93,2.62,3.51,2.35,7.76,5.78,5.97,,
S01000089,100,"1,389",33.28,1711,1072,4.21,2.62,3.4,4.61,5.14,6.38,12.05,11.84,15.96,,
S01000090,100,"4,857",7.42,4611,4846,2.63,5.07,3.37,2.99,2.97,2.64,5.88,9.35,5.91,,
S01000091,100,"5,875",2.77,5759,5757,2.45,5.62,2.47,2.8,1.91,2.28,5.38,6.61,3.92,,
S01000092,100,"6,159",1.60,6031,6130,2.21,5.54,2.03,3.49,2.09,1.84,4.78,4.77,3.52,,
S01000093,100,"5,014",6.76,4899,4688,2.04,5.59,3.18,2.05,3.79,3.04,5.35,8.62,8.39,,
S01000094,100,"6,255",1.14,6216,6132,2.03,5.62,1.92,2.69,2.47,1.62,5.44,4.61,2.96,,
S01000095,100,"6,304",0.95,6227,6265,2.08,5.32,2.79,2.91,1.65,1.51,3.8,8.1,2.03,,
S01000096,100,"1,958",26.16,2807,1045,5.16,3.52,4.24,1.9,2.86,5.33,12.11,13.84,14.64,,
S01000097,100,"3,920",12.14,3351,4893,2.77,4.41,4.06,3.31,3.32,3.65,4.56,9.8,8.17,,
S01000098,100,"5,639",3.80,5328,5871,1.78,4.61,2.79,2.87,3.61,2.67,3.63,6.58,6.6,,
S01000099,100,"2,333",22.78,2947,1511,3.85,2.47,3.36,3.68,4.48,4.42,10.38,12.13,13.21,,
S01000100,100,"5,937",2.56,5727,5987,2.26,5.41,2.26,2.56,2.82,2.21,4.78,4.74,4.57,,
S01000101,100,"5,787",3.18,5626,5712,1.97,4.84,3.01,3.07,2,2.6,4.02,7.57,5.96,,
S01000102,100,"6,350",0.76,6396,6087,1.45,4.52,1.82,1.58,2.53,2.25,3.75,4.44,6.32,,
S01000103,100,"6,431",0.41,6395,6375,1.19,4.93,2.03,2.18,2.04,2.38,2.29,4.33,6.15,,
S01000104,100,"2,102",24.80,2347,1822,3.43,2.67,4.37,4.55,4.43,4.58,8.84,13.11,13.62,,
S01000105,100,"1,408",33.07,1784,1014,5.17,4.09,3.92,3.31,3.58,4.98,13.21,11.73,14.71,,
S01000106,100,"2,914",18.18,2612,3591,3.13,4.24,4.77,3.74,3.51,3.88,5.74,11.62,10.55,,
S01000107,100,"6,057",2.09,5951,5899,2.49,2.79,1.6,2.43,5.6,2.2,7.58,2.24,5.16,,
S01000108,100,"3,437",14.83,3485,3162,2.85,3.47,2.98,3.55,7.35,2.97,9.72,8.95,6.97,,
S01000109,100,"6,079",1.93,5895,6140,1.78,3.77,2.65,2.69,3.07,2.32,3.32,6.23,4.96,,
S01000110,100,"2,950",17.95,3239,2408,4.17,2.99,2.7,2.86,5.07,3.93,10.99,6.61,11.72,,
S01000111,100,"5,194",5.86,5393,4360,2.05,4.19,3.43,2.86,2.47,2.65,6.44,9.3,7.12,,
S01000112,100,"6,109",1.78,6085,5880,1.72,4.23,2.82,2.2,2.45,2.26,3.78,7.68,4.93,,
S01000113,100,"5,022",6.73,5307,4008,2.38,3.39,3.86,2.53,2.61,2.75,6.31,10.24,7.99,,
S01000114,100,"2,320",22.89,2484,2107,4.23,4.2,3.1,3.48,4.52,3.74,11.43,7.48,11.7,,
S01000115,100,"4,339",9.90,4125,4355,3.86,3.37,2.02,2.79,4.93,3.38,8.88,3.98,9,,
S01000116,100,"6,176",1.53,6071,6107,1.83,4.37,3.21,2.56,2.29,1.86,3.61,9.33,2.86,,
S01000117,100,"4,249",10.34,4284,3807,2.43,3.02,4.6,2.37,3.7,3.81,5.96,10.89,9.28,,
S01000118,100,"5,346",5.12,5787,4175,2.97,1.95,1.8,2.95,3.94,2.87,8.19,5.08,9.23,,
S01000119,100,"6,333",0.83,6260,6299,1.49,3.73,2.85,2.3,2.95,1.79,2.63,8.4,3.37,,
S01000120,100,"5,055",6.60,4617,5392,2.52,4.46,4.01,2.92,3.23,2.47,5.27,9.83,3.98,,
S01000121,100,"3,592",14.04,3946,2739,2.78,1.98,3.87,3.74,4.31,4.08,7.62,10.12,12.06,,
S01000122,100,"2,109",24.76,2231,2028,4.43,4.69,2.97,3.56,4.31,4.02,12.2,6.86,12.04,,
S01000123,100,"1,268",35.15,1299,1443,4.19,3.19,3.2,4.92,5.91,7.11,10.95,9.08,16.7,,
S01000124,100,"6,221",1.32,6238,5943,1.73,3.2,2.69,1.54,2.99,2.42,3.6,6.45,5.91,,
S01000125,100,"5,819",3.04,5924,5251,2.81,1.36,2.31,2.81,5.27,2.49,7.32,4.76,5.68,,
S01000126,100,"5,519",4.30,5620,4938,2.33,2.19,2.35,2,6.22,3.01,7.19,5.07,7.33,,
S01000127,100,"4,520",9.05,4093,4951,2.14,3.03,4.68,2.32,4.44,4.18,4.02,9.94,9.34,,
S01000128,100,"6,149",1.62,6106,5962,2.12,2.45,2.07,1.93,4.1,2.69,4.74,3.92,6.03,,
S01000129,100,"6,078",1.93,6092,5747,2.65,1.94,1.81,2.13,4.31,2.68,6.74,3.25,5.59,,
S01000130,100,"5,479",4.46,5606,4856,1.73,2.48,2.51,2.52,6.51,2.89,5.56,7.57,7.99,,
S01000131,100,"4,334",9.92,3985,4654,2.57,4.03,4.27,2.72,4.07,2.99,5.93,10.44,5.99,,
S01000132,100,"5,548",4.17,5214,5831,2.18,3.78,3.26,2.87,3.76,2.39,3.77,10.16,3.95,,
